address,action1,time1,action2,time2,interval_min,volume1,volume2
0x07964f135f276412b3182a3b2407b8dd45000000,sell,2026-05-28 00:47:11,buy,2026-05-28 00:47:11,0.0,1420725.0,1425000.0
0x84b38bc60f3bd82640ecefa320dab2be62e2da15,buy,2026-05-28 01:34:11,sell,2026-05-28 01:41:35,7.4,10819775366.0,10819775366.0
0x84b38bc60f3bd82640ecefa320dab2be62e2da15,buy,2026-05-28 03:12:35,sell,2026-05-28 03:19:23,6.8,10745687300.0,10745687300.0
0x84b38bc60f3bd82640ecefa320dab2be62e2da15,buy,2026-05-28 05:22:23,sell,2026-05-28 05:29:11,6.8,11827314097.0,11827314097.0
0xc10aff701af6a2ae965cf1a8f19da4846c4708f2,sell,2026-05-27 12:45:35,buy,2026-05-27 12:45:35,0.0,5194472.75,5194472.75
0xc10aff701af6a2ae965cf1a8f19da4846c4708f2,sell,2026-05-27 14:09:47,buy,2026-05-27 14:09:47,0.0,51706013.66,51706013.66
0xc10aff701af6a2ae965cf1a8f19da4846c4708f2,sell,2026-05-27 16:29:35,buy,2026-05-27 16:29:35,0.0,47868287.59,47868287.59
0xc10aff701af6a2ae965cf1a8f19da4846c4708f2,sell,2026-05-27 18:25:11,buy,2026-05-27 18:25:11,0.0,265599517.95,265599517.95
0xc10aff701af6a2ae965cf1a8f19da4846c4708f2,sell,2026-05-28 01:41:35,buy,2026-05-28 01:41:35,0.0,295748.71,295748.71
0xc10aff701af6a2ae965cf1a8f19da4846c4708f2,sell,2026-05-28 09:59:23,buy,2026-05-28 09:59:23,0.0,59033.63,59033.63
0x2228088f1eb106b8ceb180477d7107a03ae66f74,sell,2026-05-27 14:55:11,buy,2026-05-27 14:55:11,0.0,5.19,5.19
0x2228088f1eb106b8ceb180477d7107a03ae66f74,sell,2026-05-27 19:01:59,buy,2026-05-27 19:01:59,0.0,5.19,20.75
0xd0cd14c068ffb01ba142da4a9275ed3e2246a5eb,buy,2026-05-27 13:44:23,sell,2026-05-27 13:52:35,8.2,28376144.03,28376144.03
0x91d4acabc9d4cce8b42801b06247c8b7eb3bdebe,buy,2026-05-27 21:26:59,sell,2026-05-27 21:27:11,0.2,1.0,1.0
0x9e2c20aaa4ecb61c41dc090d1f28bf24b1c38807,buy,2026-05-28 07:27:23,sell,2026-05-28 07:27:47,0.4,206986237.45,206986237.45
0x0000000000efa780a8e6f50fc5de9c1497bfd175,sell,2026-05-28 03:11:59,buy,2026-05-28 03:11:59,0.0,6531302.47,6531302.47
0x99294952c96823bc003be90fedfbace8e7f8e8fc,sell,2026-05-28 00:11:11,buy,2026-05-28 00:11:11,0.0,7.73,7.73
0x74dec05e5b894b0efec69cdf6316971802a2f9a1,buy,2026-05-28 08:01:11,sell,2026-05-28 08:35:47,34.6,55369256.3,116634266.67
0x700e55a0eea34ef9e5e93a9222a393c50a0b56a6,buy,2026-05-28 01:38:11,sell,2026-05-28 01:38:23,0.2,1.0,1.0
0x700e55a0eea34ef9e5e93a9222a393c50a0b56a6,sell,2026-05-28 01:38:23,buy,2026-05-28 02:18:11,39.8,1.0,1.0
